run_id,seed,worker_id,result,reason,timestamp
8166,22018,17,ACCEPT,outputs_ok,2026-04-24 23:43:34
6812,21949,14,REJECT,connectivity_failed,2026-04-24 23:43:36
3618,21194,7,REJECT,connectivity_failed,2026-04-24 23:43:36
9528,22967,20,REJECT,connectivity_failed,2026-04-24 23:43:37
8167,22040,17,REJECT,connectivity_failed,2026-04-24 23:43:40
436,21825,0,REJECT,neighbor_abort,2026-04-24 23:43:40
7256,20806,15,ACCEPT,outputs_ok,2026-04-24 23:43:41
5436,21946,11,ACCEPT,outputs_ok,2026-04-24 23:43:41
9528,22989,20,REJECT,connectivity_failed,2026-04-24 23:43:43
8167,22062,17,REJECT,connectivity_failed,2026-04-24 23:43:47
5437,21968,11,REJECT,connectivity_failed,2026-04-24 23:43:49
9528,23011,20,REJECT,connectivity_failed,2026-04-24 23:43:53
7257,20828,15,REJECT,neighbor_abort,2026-04-24 23:43:53
2259,21917,4,ACCEPT,outputs_ok,2026-04-24 23:43:53
2260,21939,4,REJECT,connectivity_failed,2026-04-24 23:44:01
7257,20850,15,REJECT,connectivity_failed,2026-04-24 23:44:01
4526,20602,9,ACCEPT,outputs_ok,2026-04-24 23:44:02
9073,21778,19,ACCEPT,outputs_ok,2026-04-24 23:44:07
3161,21655,6,ACCEPT,outputs_ok,2026-04-24 23:44:07
7257,20872,15,REJECT,connectivity_failed,2026-04-24 23:44:08
4527,20624,9,REJECT,connectivity_failed,2026-04-24 23:44:09
2260,21961,4,REJECT,connectivity_failed,2026-04-24 23:44:11
6355,21530,13,ACCEPT,outputs_ok,2026-04-24 23:44:13
2711,21896,5,ACCEPT,outputs_ok,2026-04-24 23:44:13
7257,20894,15,REJECT,connectivity_failed,2026-04-24 23:44:13
9981,22044,21,ACCEPT,outputs_ok,2026-04-24 23:44:14
3162,21677,6,REJECT,neighbor_abort,2026-04-24 23:44:16
6356,21552,13,REJECT,connectivity_failed,2026-04-24 23:44:21
1341,20639,2,ACCEPT,outputs_ok,2026-04-24 23:44:23
3162,21699,6,REJECT,connectivity_failed,2026-04-24 23:44:24
4069,22845,8,ACCEPT,outputs_ok,2026-04-24 23:44:24
7707,21445,16,ACCEPT,outputs_ok,2026-04-24 23:44:25
1793,20200,3,ACCEPT,outputs_ok,2026-04-24 23:44:29
7708,21467,16,REJECT,connectivity_failed,2026-04-24 23:44:33
1794,20222,3,REJECT,connectivity_failed,2026-04-24 23:44:34
5894,21507,12,ACCEPT,outputs_ok,2026-04-24 23:44:34
4070,22867,8,REJECT,connectivity_failed,2026-04-24 23:44:37
894,20264,1,ACCEPT,outputs_ok,2026-04-24 23:44:37
