seed,run_id,mobility,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
5947,10005947,0,5.600000,1.865476,2.000000,9.000000,29.240000,13.706291,49.000000,0.000000,50,0,67.860973
5948,10005948,0,6.280000,2.416940,2.000000,10.000000,39.000000,20.412741,43.360000,10.449421,0,0,67.130115
5949,10005949,0,6.240000,2.970253,1.000000,12.000000,41.520000,29.031183,43.360000,10.449421,0,0,62.149603
5950,10005950,0,5.920000,2.621755,1.000000,11.000000,36.000000,25.361388,49.000000,0.000000,50,0,59.954301
5951,10005951,0,5.880000,2.710277,1.000000,11.000000,36.040000,27.044378,41.640000,11.394314,0,0,66.819021
5953,10005953,0,6.000000,3.006659,1.000000,12.000000,39.040000,29.528942,36.960000,12.491533,0,0,65.420208
5952,10005952,0,6.360000,2.711162,0.000000,12.000000,41.440000,23.235456,47.040000,6.720000,0,0,59.143227
5954,10005954,0,5.200000,1.600000,2.000000,9.000000,24.400000,10.556515,49.000000,0.000000,50,0,78.917444
5956,10005956,0,4.560000,1.525254,1.000000,8.000000,18.560000,9.853243,41.640000,11.394314,0,0,71.401525
5955,10005955,0,6.280000,2.630893,1.000000,11.000000,40.080000,24.017360,43.360000,10.449421,0,0,55.372356
5957,10005957,0,6.480000,2.499920,2.000000,12.000000,41.760000,22.446880,38.440000,12.348538,0,0,51.280323
5958,10005958,0,5.800000,2.408319,0.000000,11.000000,33.640000,19.009219,47.040000,6.720000,0,0,68.608078
5959,10005959,0,5.960000,1.777189,2.000000,10.000000,32.720000,12.165591,49.000000,0.000000,50,0,63.677660
5960,10005960,0,5.840000,2.484834,0.000000,11.000000,34.440000,22.265812,33.440000,14.028770,0,0,54.008544
5961,10005961,0,6.360000,3.083894,0.000000,12.000000,43.600000,28.701219,45.120000,9.210081,0,0,67.815133
5964,10005964,0,6.400000,2.712932,0.000000,12.000000,41.920000,25.998338,33.920000,13.010519,0,0,67.526068
5963,10005963,0,5.520000,2.539606,1.000000,11.000000,31.400000,22.457070,45.160000,9.014122,0,0,61.373765
5962,10005962,0,6.320000,2.587972,1.000000,12.000000,40.320000,22.294789,49.000000,0.000000,50,0,64.728345
5967,10005967,0,5.360000,2.206898,0.000000,10.000000,28.240000,14.497669,33.640000,13.615814,0,0,71.534304
5966,10005966,0,6.520000,2.547469,0.000000,14.000000,42.480000,22.634699,47.040000,6.720000,0,0,65.061323
5965,10005965,0,6.240000,2.195996,1.000000,11.000000,37.520000,18.297803,49.000000,0.000000,50,0,71.557658
5969,10005969,0,5.800000,1.600000,2.000000,10.000000,30.400000,12.672806,49.000000,0.000000,50,0,65.845182
5968,10005968,0,5.640000,2.455687,0.000000,10.000000,32.200000,23.304935,47.040000,6.720000,0,0,74.538068
5970,10005970,0,6.440000,2.706732,2.000000,13.000000,42.360000,27.951215,38.440000,12.348538,0,0,67.386053
5971,10005971,0,6.440000,2.801143,0.000000,12.000000,42.880000,28.799056,47.040000,6.720000,0,1,56.319668
5973,10005973,0,6.400000,3.555278,0.000000,15.000000,47.200000,37.736985,38.080000,13.332427,0,0,62.533014
5972,10005972,0,5.800000,2.966479,1.000000,12.000000,36.640000,30.092364,38.120000,13.219138,0,0,67.581892
5974,10005974,0,6.160000,2.283506,2.000000,11.000000,37.000000,18.181309,49.000000,0.000000,50,0,61.045974
5976,10005976,0,5.520000,2.401999,0.000000,12.000000,30.720000,16.949383,27.040000,12.925881,0,0,70.874848
5975,10005975,0,6.360000,2.769549,0.000000,11.000000,41.760000,22.297587,43.240000,10.924395,0,0,70.012798
5977,10005977,0,5.400000,2.009975,1.000000,10.000000,27.800000,16.138154,49.000000,0.000000,50,0,68.685714
5978,10005978,0,6.640000,2.971599,2.000000,14.000000,46.280000,33.435933,49.000000,0.000000,50,0,62.468981
5979,10005979,0,5.920000,2.373521,1.000000,11.000000,34.760000,24.154138,49.000000,0.000000,50,0,71.134622
5980,10005980,0,6.200000,2.720294,1.000000,14.000000,39.640000,25.410045,45.160000,9.014122,0,0,69.265576
5981,10005981,0,6.640000,2.574956,1.000000,12.000000,44.080000,25.986797,49.000000,0.000000,50,0,68.983815
5982,10005982,0,6.840000,2.795425,1.000000,13.000000,47.760000,29.559134,49.000000,0.000000,50,0,69.860224
5984,10005984,0,5.840000,2.671030,0.000000,11.000000,35.400000,26.123553,47.040000,6.720000,0,0,79.275829
5983,10005983,0,6.480000,2.578682,0.000000,13.000000,42.160000,23.074107,47.040000,6.720000,0,1,70.598626
5985,10005985,0,6.320000,2.723527,1.000000,10.000000,41.040000,22.129582,45.160000,9.014122,0,1,68.448946
5986,10005986,0,6.200000,2.513961,1.000000,11.000000,38.560000,22.018320,45.160000,9.014122,0,0,60.789217
5987,10005987,0,5.960000,1.731589,3.000000,10.000000,32.560000,13.704248,49.000000,0.000000,50,1,67.424043
5988,10005988,0,7.000000,3.255764,0.000000,12.000000,52.600000,35.069645,47.040000,6.720000,0,0,63.822306
5989,10005989,0,5.760000,2.205085,1.000000,9.000000,32.280000,16.475485,45.160000,9.014122,0,1,70.523793
5991,10005991,0,5.960000,3.052605,1.000000,12.000000,38.880000,31.785934,43.360000,10.449421,0,0,66.701465
5990,10005990,0,6.320000,2.344696,2.000000,11.000000,39.120000,21.545895,49.000000,0.000000,50,0,61.672871
5992,10005992,0,5.440000,2.246419,1.000000,10.000000,29.200000,19.991998,49.000000,0.000000,50,0,66.467027
5993,10005993,0,7.480000,3.383726,1.000000,14.000000,59.920000,40.865555,49.000000,0.000000,50,0,57.963119
5994,10005994,0,5.680000,2.004395,2.000000,10.000000,30.600000,14.759404,49.000000,0.000000,50,0,63.921951
5996,10005996,0,5.720000,1.876593,2.000000,10.000000,30.520000,17.026145,38.440000,12.348538,0,0,67.676826
5995,10005995,0,7.240000,3.215960,2.000000,14.000000,55.520000,34.343698,49.000000,0.000000,50,0,63.081165
5997,10005997,0,5.920000,2.924654,0.000000,11.000000,37.680000,25.256635,47.040000,6.720000,0,0,72.936387
5998,10005998,0,5.480000,2.299913,1.000000,10.000000,29.840000,18.323057,43.360000,10.449421,0,0,69.785515
5999,10005999,0,6.000000,2.898275,0.000000,11.000000,38.400000,25.053543,47.040000,6.720000,0,0,67.362116
6000,10006000,0,7.320000,3.146045,0.000000,13.000000,56.160000,33.080726,47.040000,6.720000,0,0,73.255922
6001,10006001,0,5.560000,2.021485,1.000000,9.000000,29.440000,15.280262,49.000000,0.000000,50,0,74.362468
6002,10006002,0,6.400000,3.065942,1.000000,13.000000,43.960000,31.530278,49.000000,0.000000,50,0,61.953174
6003,10006003,0,5.840000,2.893856,0.000000,14.000000,36.640000,28.515091,47.040000,6.720000,0,1,67.421884
6004,10006004,0,6.640000,2.621145,1.000000,11.000000,44.320000,23.180544,45.160000,9.014122,0,0,54.975547
6006,10006006,0,5.440000,2.050951,2.000000,10.000000,28.360000,15.935821,49.000000,0.000000,50,0,62.650879
6005,10006005,0,7.080000,3.676085,1.000000,15.000000,56.560000,47.775793,45.160000,9.014122,0,0,61.445962
6007,10006007,0,6.160000,2.648471,1.000000,11.000000,38.800000,23.579652,49.000000,0.000000,50,0,66.285284
6008,10006008,0,6.240000,2.093418,2.000000,11.000000,37.080000,16.526149,49.000000,0.000000,50,0,66.585280
6009,10006009,0,6.000000,2.181742,1.000000,11.000000,34.760000,18.326549,49.000000,0.000000,50,0,62.138819
6011,10006011,0,5.920000,2.398666,0.000000,11.000000,34.880000,18.090484,47.040000,6.720000,0,0,57.990508
6010,10006010,0,7.080000,3.285361,1.000000,14.000000,53.840000,37.137776,49.000000,0.000000,50,0,55.850003
6012,10006012,0,6.800000,3.762978,2.000000,16.000000,53.600000,49.767057,49.000000,0.000000,50,0,60.744562
6014,10006014,0,6.920000,3.451608,1.000000,14.000000,52.880000,42.860070,23.200000,12.335315,0,1,57.054265
6013,10006013,0,4.800000,1.897367,1.000000,9.000000,21.840000,13.101695,49.000000,0.000000,50,0,68.805905
6015,10006015,0,5.840000,1.724645,1.000000,10.000000,31.240000,11.073500,49.000000,0.000000,50,0,60.760467
6016,10006016,0,5.400000,2.078461,3.000000,12.000000,28.080000,19.835161,40.000000,12.000000,0,0,62.806088
6017,10006017,0,6.040000,2.399667,1.000000,11.000000,36.200000,20.269188,45.160000,9.014122,0,1,67.337691
6020,10006020,0,5.760000,2.510458,1.000000,12.000000,33.720000,22.416101,24.360000,2.978322,0,0,63.327616
6019,10006019,0,6.360000,2.896619,1.000000,13.000000,42.480000,33.531024,49.000000,0.000000,50,0,66.164261
