seed,run_id,mobility,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
35735,10035735,1,7.280000,3.111527,2.000000,14.000000,47.780000,31.704441,41.640000,11.394314,0,0,62.969938
35740,10035740,1,6.500000,2.594224,0.000000,12.000000,35.500000,19.052821,47.040000,6.720000,0,0,61.607542
35734,10035734,1,6.780000,2.872560,1.000000,13.000000,40.460000,24.153021,49.000000,0.000000,50,0,60.846408
35736,10035736,1,8.040000,3.924080,0.000000,15.000000,64.040000,46.432299,41.520000,11.803796,0,0,74.035060
35737,10035737,1,6.740000,2.755431,0.000000,13.000000,34.660000,16.482245,47.040000,6.720000,0,0,68.601290
35741,10035741,1,7.640000,2.762318,2.000000,13.000000,48.660000,26.569614,49.000000,0.000000,50,1,63.665014
35743,10035743,1,6.780000,2.766153,2.000000,12.000000,38.360000,21.021665,39.960000,11.988261,0,1,60.267180
35744,10035744,1,5.940000,2.701185,1.000000,13.000000,30.920000,21.450259,49.000000,0.000000,50,0,73.485900
35742,10035742,1,7.680000,3.946847,2.000000,16.000000,56.200000,51.114382,49.000000,0.000000,50,0,63.882139
35745,10035745,1,6.840000,3.183457,0.000000,15.000000,40.420000,28.731926,47.040000,6.720000,0,0,67.315588
35749,10035749,1,6.280000,2.049780,2.000000,11.000000,31.420000,15.530731,32.160000,13.704539,0,0,57.164710
35748,10035748,1,6.340000,2.065042,2.000000,11.000000,34.860000,14.821619,33.000000,12.000000,0,0,72.041700
35747,10035747,1,5.620000,2.497118,1.000000,11.000000,27.320000,19.559591,49.000000,0.000000,50,0,60.557011
35746,10035746,1,8.820000,4.470749,2.000000,18.000000,72.740000,52.838550,40.000000,12.000000,0,0,67.632803
35751,10035751,1,7.580000,2.850193,1.000000,14.000000,48.520000,25.931633,49.000000,0.000000,50,0,58.031061
35750,10035750,1,7.100000,3.112876,2.000000,13.000000,43.820000,28.117390,49.000000,0.000000,50,0,60.214199
