K,method,variant,classifier,acc_S_test_mean,acc_S_test_std,auc_S_test_mean,auc_S_test_std,acc_M_test_mean,acc_M_test_std,auc_M_test_mean,auc_M_test_std,acc_SM_mean,acc_SM_std,auc_SM_mean,auc_SM_std,acc_MS_mean,acc_MS_std,auc_MS_mean,auc_MS_std,asymmetry_mean,asymmetry_std,n_features,n_features_passing_threshold
18,rf_native,soft,xgboost,0.9035089910089911,0.003128076290957184,0.9574184073294338,0.00256329519384133,0.9091221278721278,0.003401769172899871,0.9583061387912787,0.0017513643834074827,0.6673563936063936,0.005212504498529157,0.8116953862820496,0.008950821005738486,0.8476448551448552,0.001540248272279498,0.8933161354754138,0.0020929684770592902,0.1802884615384615,0.0050938087756820065,18.0,13.0
19,rf_native,soft,xgboost,0.9032592407592407,0.003181150350179122,0.9572708837740681,0.002532197752569646,0.908603896103896,0.0035042175277230727,0.9585624306387917,0.0018075449972326397,0.6708878621378622,0.005314097196655124,0.8241531256580583,0.00813700743144801,0.8485976523476524,0.0015161706729358451,0.8948427845880393,0.002279242582324965,0.17770979020979016,0.005164086470021657,19.0,13.0
20,rf_native,soft,xgboost,0.903921078921079,0.002897420166799005,0.9575622928520031,0.002533306578994891,0.9097964535464536,0.003248086406819343,0.9600220474455614,0.0019088402635388088,0.6880819180819181,0.011234722445869285,0.8375638133095675,0.008323985575167328,0.8500174825174825,0.0017046707584081012,0.8983392324458759,0.002377005670790971,0.16193556443556437,0.01080710232942698,20.0,16.0
21,rf_native,soft,xgboost,0.9035776723276723,0.002932579066017529,0.957492030322325,0.0025133925304740906,0.9099025974025974,0.0033498938224994375,0.9599929728114045,0.0018881261381156333,0.6954245754245754,0.012043806487696837,0.8393235949864322,0.0076780579645867484,0.8501560939060939,0.0018803404049409674,0.8989388217302178,0.0026021572598302427,0.15473151848151842,0.011668629883222637,21.0,16.0
22,rf_native,soft,xgboost,0.9035776723276724,0.003113131181836819,0.9575369311008671,0.0024965703049834574,0.9107330169830169,0.0035038369142442157,0.960615645593168,0.0020331627046042953,0.6894018481518481,0.009646804798445341,0.8356250054890164,0.008117706326135324,0.8501111388611389,0.0015871576919829025,0.8988966956495054,0.0026057454290553984,0.1607092907092907,0.009391401538141855,22.0,18.0
23,rf_native,soft,xgboost,0.9035651848151849,0.0032363408225381802,0.9574017360012614,0.002598008406456717,0.9107142857142858,0.0034044521824349258,0.9604709304806083,0.0020008668758979154,0.6886713286713286,0.010920637973871487,0.834899798815071,0.008902913945028184,0.8495754245754246,0.0017235338839800035,0.8983613674662001,0.0027028809760245125,0.16090409590409588,0.010529776321301261,23.0,21.0
24,rf_native,soft,xgboost,0.903252997002997,0.0030048999815457584,0.9573917840401357,0.002578283485050922,0.9111076423576424,0.0034642617014137332,0.9607164891177753,0.0020216862535739175,0.6891808191808192,0.01096794006813705,0.8381584215609565,0.008122204225408044,0.8495866633366633,0.00206656626155391,0.8987114220070639,0.002726540820057852,0.16040584415584408,0.010556974216205063,24.0,22.0
25,rf_native,soft,xgboost,0.9034403096903096,0.003119609828457363,0.9572867738530201,0.00252211423924795,0.9110701798201799,0.0031858359885476354,0.9611947867317499,0.0020738230471966162,0.6904058441558442,0.008762753180585687,0.839408018679622,0.008495626960519904,0.8495979020979021,0.001691811641961969,0.8988948226473825,0.0028383347008102645,0.15919205794205793,0.008575369539263945,25.0,25.0
26,rf_native,soft,xgboost,0.9034028471528472,0.0030997096603850613,0.9574227533206054,0.002566397708192936,0.912418831168831,0.003453346540714323,0.9623929033628709,0.0019549989744062773,0.6883491508491508,0.010016758251952628,0.840443737518725,0.008089852959455949,0.8483129370629371,0.001695505653995561,0.8968522127223426,0.002542506966709672,0.15996378621378618,0.010190185436517184,26.0,25.0
27,rf_native,soft,xgboost,0.9033903596403597,0.0031249721772597457,0.9573459242430896,0.002567016580289822,0.9118881118881118,0.0032458430980312532,0.9623721355442759,0.0019175919188580174,0.6867195304695304,0.01007976620765714,0.8412208385395823,0.009175070999992917,0.8480981518481518,0.0022534305449641114,0.8969524908158775,0.0026615429390712693,0.16137862137862136,0.010099852903506503,27.0,25.0
28,rf_native,soft,xgboost,0.9034527972027971,0.0032232286579066197,0.9573749536552357,0.0026718619330690575,0.9120067432567434,0.0034986799183559366,0.9623844764750734,0.0020413972199860297,0.688459040959041,0.010577337508648423,0.8406816414729127,0.008706357267851152,0.8483304195804197,0.0021150031194086456,0.896983247833585,0.0026532318246910323,0.1598713786213786,0.010223007417732017,28.0,27.0
29,rf_native,soft,xgboost,0.9032280219780221,0.0032677862347033067,0.9573522319339002,0.002565626710481536,0.912169080919081,0.0032130273713910588,0.9625029940089881,0.002073228491431329,0.6863861138861138,0.010301393232416226,0.841222987988535,0.009103493173304401,0.8479258241758242,0.0021465751225875854,0.896370035309346,0.002748168526212361,0.1615397102897103,0.010420292439301763,29.0,28.0
30,rf_native,soft,xgboost,0.9033091908091908,0.002957333592721937,0.9574240631995377,0.002600633212192249,0.9125936563436564,0.003430263801518044,0.9624472726948377,0.002025907065645709,0.6864847652347652,0.010187758612954604,0.8416814395644316,0.008692277287511608,0.8481980519480519,0.0019774940429561167,0.8965758843429297,0.0026504853357685377,0.1617132867132867,0.010132582589032008,30.0,29.0
31,rf_native,soft,xgboost,0.9033966033966034,0.0031677838415425917,0.9573335443278002,0.0025470088712757468,0.9125187312687313,0.003494501870115014,0.9624634995998008,0.0020196094000418446,0.6849725274725275,0.00830490232916002,0.8406305969879272,0.009098964467614138,0.8481793206793207,0.0019678521369670327,0.8965623785555105,0.0026561631527321707,0.16320679320679318,0.00803896766768894,31.0,31.0
32,rf_native,soft,xgboost,0.903402847152847,0.003184599185910937,0.9573796068442049,0.002612962969917294,0.9125187312687313,0.003494501870115014,0.9624634995998008,0.0020196094000418446,0.6875462037962038,0.00996352526344139,0.8402372229418933,0.00829775411943812,0.8481793206793207,0.0019678521369670327,0.8965623785555105,0.0026561631527321707,0.16063311688311682,0.009635440597273849,32.0,32.0
33,rf_native,soft,xgboost,0.9031655844155845,0.003202588583572486,0.9574329532231006,0.002586224693700281,0.9125187312687313,0.003494501870115014,0.9624634995998008,0.0020196094000418446,0.6872652347652347,0.010018578361338008,0.8403243141723411,0.009039258126620753,0.8481793206793207,0.0019678521369670327,0.8965623785555105,0.0026561631527321707,0.1609140859140859,0.01017857941524163,33.0,33.0
1,rf_native,strict,xgboost,,,,,,,,,,,,,,,,,,,0.0,0.0
2,rf_native,strict,xgboost,,,,,,,,,,,,,,,,,,,0.0,0.0
3,rf_native,strict,xgboost,,,,,,,,,,,,,,,,,,,0.0,0.0
4,rf_native,strict,xgboost,,,,,,,,,,,,,,,,,,,0.0,0.0
5,rf_native,strict,xgboost,0.8054632867132867,0.004904015598361091,0.8642132062492951,0.003425934101849397,0.8664772727272727,0.0035004622849785444,0.9159955335623418,0.0035995419450323765,0.8443568931068931,0.0049055523732659855,0.9167070925453169,0.00023464864705951812,0.7842594905094905,0.004699664735254902,0.8544803094632639,0.0009398220592650384,0.06009740259740255,0.007593242497562103,2.0,2.0
6,rf_native,strict,xgboost,0.8054632867132867,0.004904015598361091,0.8642132062492951,0.003425934101849397,0.8664772727272727,0.0035004622849785444,0.9159955335623418,0.0035995419450323765,0.8443568931068931,0.0049055523732659855,0.9167070925453169,0.00023464864705951812,0.7842594905094905,0.004699664735254902,0.8544803094632639,0.0009398220592650384,0.06009740259740255,0.007593242497562103,2.0,2.0
7,rf_native,strict,xgboost,0.8054632867132867,0.004904015598361091,0.8642132062492951,0.003425934101849397,0.8664772727272727,0.0035004622849785444,0.9159955335623418,0.0035995419450323765,0.8443568931068931,0.0049055523732659855,0.9167070925453169,0.00023464864705951812,0.7842594905094905,0.004699664735254902,0.8544803094632639,0.0009398220592650384,0.06009740259740255,0.007593242497562103,2.0,2.0
8,rf_native,strict,xgboost,0.8505244755244755,0.004119783579421266,0.9026827256160423,0.0033973062968945494,0.8956605894105895,0.003657679032219262,0.9439766106146601,0.002175952227995691,0.8542095404595405,0.007831490257223659,0.9093387752981285,0.0025908653922324036,0.8427472527472528,0.0015657484141615922,0.886241735849066,0.0014279391323958907,0.011984265734265686,0.007026811863650441,5.0,5.0
9,rf_native,strict,xgboost,0.8505244755244755,0.004119783579421266,0.9026827256160423,0.0033973062968945494,0.8956605894105895,0.003657679032219262,0.9439766106146601,0.002175952227995691,0.8542095404595405,0.007831490257223659,0.9093387752981285,0.0025908653922324036,0.8427472527472528,0.0015657484141615922,0.886241735849066,0.0014279391323958907,0.011984265734265686,0.007026811863650441,5.0,5.0
10,rf_native,strict,xgboost,0.8505244755244755,0.004119783579421266,0.9026827256160423,0.0033973062968945494,0.8956605894105895,0.003657679032219262,0.9439766106146601,0.002175952227995691,0.8542095404595405,0.007831490257223659,0.9093387752981285,0.0025908653922324036,0.8427472527472528,0.0015657484141615922,0.886241735849066,0.0014279391323958907,0.011984265734265686,0.007026811863650441,5.0,5.0
11,rf_native,strict,xgboost,0.8574425574425575,0.0037961778525296376,0.9179711397493616,0.0032073445167870723,0.8958916083916083,0.004253305761418528,0.9445995781191835,0.002275637120933636,0.8594355644355645,0.008396921726542998,0.9094147888200711,0.0035230601132406475,0.844242007992008,0.001329639412977433,0.8848086984818379,0.0019464335933208137,0.015688061938061888,0.007067856705845303,6.0,6.0
12,rf_native,strict,xgboost,0.8574425574425575,0.0037961778525296376,0.9179711397493616,0.0032073445167870723,0.8958916083916083,0.004253305761418528,0.9445995781191835,0.002275637120933636,0.8594355644355645,0.008396921726542998,0.9094147888200711,0.0035230601132406475,0.844242007992008,0.001329639412977433,0.8848086984818379,0.0019464335933208137,0.015688061938061888,0.007067856705845303,6.0,6.0
13,rf_native,strict,xgboost,0.8656281218781219,0.004213246351620388,0.9315298977371279,0.0030783416865522886,0.9050761738261738,0.003187123814257311,0.9524673908758574,0.0021083474211231255,0.8620866633366633,0.004718255238062633,0.9022203419083414,0.002565451580965003,0.8475574425574426,0.0014989965356487533,0.8866703389642325,0.0022576579039599964,0.014529220779220735,0.005263068804159463,8.0,8.0
14,rf_native,strict,xgboost,0.8658341658341658,0.003907823856211096,0.9319311807074045,0.0030287799415547744,0.9064810189810191,0.002899826885779589,0.9533882965810413,0.002050771124318305,0.8632992007992009,0.004813289225468997,0.903338838421818,0.0022512650413896804,0.8458154345654346,0.0013359697220171316,0.8843280571825776,0.001984679322470016,0.01748376623376617,0.0049963552712498326,9.0,9.0
15,rf_native,strict,xgboost,0.8658341658341658,0.003907823856211096,0.9319311807074045,0.0030287799415547744,0.9064810189810191,0.002899826885779589,0.9533882965810413,0.002050771124318305,0.8632992007992009,0.004813289225468997,0.903338838421818,0.0022512650413896804,0.8458154345654346,0.0013359697220171316,0.8843280571825776,0.001984679322470016,0.01748376623376617,0.0049963552712498326,9.0,9.0
16,rf_native,strict,xgboost,0.8749375624375624,0.0032710559139019057,0.9393909770923383,0.002786095745808475,0.9074737762237761,0.0030570521113181975,0.95529008329333,0.0016850569238641964,0.853046953046953,0.00544001318432971,0.8924037708669952,0.0027077558671947605,0.8439110889110889,0.0011688401566598582,0.8770153311972742,0.00204739511021263,0.00922077922077914,0.005490719697250809,10.0,10.0
17,rf_native,strict,xgboost,0.8818743756243757,0.003648467672680931,0.9435635761591057,0.0026540776855942774,0.9073239260739261,0.002888874326196077,0.9552704834501163,0.001683762414707786,0.8192807192807192,0.008050876830344687,0.8780882600167066,0.004829747567908827,0.8440434565434565,0.001270474596679724,0.8784202259403934,0.0020476292061844285,0.02476273726273722,0.008453366846074407,12.0,12.0
18,rf_native,strict,xgboost,0.8837412587412586,0.003603316203421695,0.9461869736157948,0.0026271923686090005,0.9074987512487512,0.002542084284215301,0.9558966352079489,0.0016877717002269789,0.8117882117882118,0.008504789767014537,0.8763995052774398,0.00430570106464486,0.8453808691308691,0.0010366567304458845,0.8792777716788706,0.0018819222941811014,0.0335926573426573,0.008407622957054184,13.0,13.0
