method,K,threshold,n_features_passing
perm_xgb,26,0.7,19
perm_xgb,26,0.8,19
perm_xgb,26,0.9,17
perm_xgb,27,0.6,22
perm_xgb,27,0.7,21
perm_xgb,27,0.8,19
perm_xgb,27,0.9,17
perm_xgb,28,0.6,22
perm_xgb,28,0.7,22
perm_xgb,28,0.8,21
perm_xgb,28,0.9,19
perm_xgb,29,0.6,25
perm_xgb,29,0.7,23
perm_xgb,29,0.8,21
perm_xgb,29,0.9,21
perm_xgb,30,0.6,28
perm_xgb,30,0.7,24
perm_xgb,30,0.8,23
perm_xgb,30,0.9,23
perm_xgb,31,0.6,29
perm_xgb,31,0.7,27
perm_xgb,31,0.8,27
perm_xgb,31,0.9,23
perm_xgb,32,0.6,32
perm_xgb,32,0.7,31
perm_xgb,32,0.8,29
perm_xgb,32,0.9,27
perm_xgb,33,0.6,33
perm_xgb,33,0.7,33
perm_xgb,33,0.8,33
perm_xgb,33,0.9,33
perm_catboost,1,0.6,0
perm_catboost,1,0.7,0
perm_catboost,1,0.8,0
perm_catboost,1,0.9,0
perm_catboost,2,0.6,0
perm_catboost,2,0.7,0
perm_catboost,2,0.8,0
perm_catboost,2,0.9,0
perm_catboost,3,0.6,1
perm_catboost,3,0.7,1
perm_catboost,3,0.8,1
perm_catboost,3,0.9,1
perm_catboost,4,0.6,1
perm_catboost,4,0.7,1
perm_catboost,4,0.8,1
perm_catboost,4,0.9,1
perm_catboost,5,0.6,3
perm_catboost,5,0.7,3
perm_catboost,5,0.8,3
perm_catboost,5,0.9,3
perm_catboost,6,0.6,3
perm_catboost,6,0.7,3
perm_catboost,6,0.8,3
perm_catboost,6,0.9,3
perm_catboost,7,0.6,3
perm_catboost,7,0.7,3
perm_catboost,7,0.8,3
perm_catboost,7,0.9,3
perm_catboost,8,0.6,3
perm_catboost,8,0.7,3
perm_catboost,8,0.8,3
perm_catboost,8,0.9,3
perm_catboost,9,0.6,4
perm_catboost,9,0.7,4
perm_catboost,9,0.8,3
perm_catboost,9,0.9,3
perm_catboost,10,0.6,4
perm_catboost,10,0.7,4
perm_catboost,10,0.8,4
perm_catboost,10,0.9,4
perm_catboost,11,0.6,5
perm_catboost,11,0.7,5
perm_catboost,11,0.8,4
perm_catboost,11,0.9,4
perm_catboost,12,0.6,6
perm_catboost,12,0.7,5
perm_catboost,12,0.8,5
perm_catboost,12,0.9,5
perm_catboost,13,0.6,7
perm_catboost,13,0.7,6
perm_catboost,13,0.8,6
perm_catboost,13,0.9,5
perm_catboost,14,0.6,7
perm_catboost,14,0.7,7
perm_catboost,14,0.8,6
perm_catboost,14,0.9,5
perm_catboost,15,0.6,7
perm_catboost,15,0.7,7
perm_catboost,15,0.8,7
perm_catboost,15,0.9,7
perm_catboost,16,0.6,8
perm_catboost,16,0.7,7
perm_catboost,16,0.8,7
perm_catboost,16,0.9,7
perm_catboost,17,0.6,11
perm_catboost,17,0.7,9
perm_catboost,17,0.8,7
perm_catboost,17,0.9,7
perm_catboost,18,0.6,11
perm_catboost,18,0.7,11
perm_catboost,18,0.8,9
perm_catboost,18,0.9,7
perm_catboost,19,0.6,11
perm_catboost,19,0.7,11
perm_catboost,19,0.8,10
perm_catboost,19,0.9,9
perm_catboost,20,0.6,14
perm_catboost,20,0.7,11
perm_catboost,20,0.8,11
perm_catboost,20,0.9,10
perm_catboost,21,0.6,17
perm_catboost,21,0.7,13
perm_catboost,21,0.8,11
perm_catboost,21,0.9,10
perm_catboost,22,0.6,19
perm_catboost,22,0.7,17
perm_catboost,22,0.8,14
perm_catboost,22,0.9,11
perm_catboost,23,0.6,19
perm_catboost,23,0.7,18
perm_catboost,23,0.8,16
perm_catboost,23,0.9,13
perm_catboost,24,0.6,20
perm_catboost,24,0.7,20
perm_catboost,24,0.8,17
perm_catboost,24,0.9,15
perm_catboost,25,0.6,20
perm_catboost,25,0.7,20
perm_catboost,25,0.8,19
perm_catboost,25,0.9,17
perm_catboost,26,0.6,23
perm_catboost,26,0.7,20
perm_catboost,26,0.8,20
perm_catboost,26,0.9,17
perm_catboost,27,0.6,23
perm_catboost,27,0.7,21
perm_catboost,27,0.8,20
perm_catboost,27,0.9,18
perm_catboost,28,0.6,26
perm_catboost,28,0.7,21
perm_catboost,28,0.8,20
perm_catboost,28,0.9,19
perm_catboost,29,0.6,27
perm_catboost,29,0.7,23
perm_catboost,29,0.8,21
perm_catboost,29,0.9,19
perm_catboost,30,0.6,28
perm_catboost,30,0.7,27
perm_catboost,30,0.8,22
perm_catboost,30,0.9,19
perm_catboost,31,0.6,31
perm_catboost,31,0.7,30
