K,method,variant,acc_S_test_mean,auc_S_test_mean,acc_M_test_mean,auc_M_test_mean,acc_SM_mean,auc_SM_mean,acc_MS_mean,auc_MS_mean,asymmetry_mean
1,perm_rf,soft,0.8420350482850484,0.8949067275756212,0.8465846653346653,0.8982414033269427,0.8122756410256411,0.885788479003514,0.802588245088245,0.8954858858881711,0.01174700299700295
2,perm_rf,soft,0.8438290875790876,0.9101264473954284,0.8651973026973027,0.9186964805299596,0.8056206293706293,0.8584059118952975,0.8175283050283051,0.9010600079657273,0.012910006660006612
3,perm_rf,soft,0.8578837828837829,0.9162616921248915,0.8717532467532468,0.9233009472004851,0.8061509324009325,0.8625330819072703,0.8141092241092241,0.9029158688256466,0.015676406926406886
4,perm_rf,soft,0.8754433066933068,0.9430339666369262,0.8733225108225109,0.9248237698240821,0.809251998001998,0.8440187956607161,0.8225320512820513,0.9115994487738369,0.013584748584748547
5,perm_rf,soft,0.8995837495837495,0.9545972992417173,0.8758200133200132,0.9272388643033622,0.6792440892440892,0.804834311480228,0.8196474358974358,0.9152452878041041,0.1404033466533466
6,perm_rf,soft,0.9001748251748252,0.9550011879354412,0.8903284215784216,0.9441363425535503,0.6738095238095237,0.7997830289923197,0.8447311022311021,0.9021145167270292,0.17092157842157837
7,perm_rf,soft,0.899785631035631,0.954846768803125,0.89135656010656,0.9460036051194892,0.6385385447885447,0.777399048399985,0.8472044622044622,0.9022251590193023,0.20866591741591742
8,perm_rf,soft,0.9004766067266067,0.9551892964261844,0.8917561605061605,0.9462465959781144,0.638781635031635,0.7768300119377791,0.8468227605727604,0.9030169439909076,0.2080411255411255
9,perm_rf,soft,0.9006972194472195,0.9554940766650932,0.8971174658674658,0.9506817202527742,0.6444193306693307,0.776687782351681,0.8409665334665335,0.8922727173134891,0.19654720279720275
10,perm_rf,soft,0.9011883949383949,0.9555223211894665,0.8973110223110222,0.9506874774825573,0.6446824009324009,0.7762685326245515,0.8407683982683983,0.8913321220071969,0.1960859973359973
11,perm_rf,soft,0.9030386280386281,0.9573652615907237,0.9027930402930403,0.9554905789764682,0.6391354478854478,0.7822039923113849,0.8454362304362304,0.8946777088836905,0.20630078255078255
12,perm_rf,soft,0.9036026473526473,0.9576368831800899,0.9053862803862804,0.9578627213820146,0.6621070596070596,0.8006280837876742,0.8474771062271061,0.8997104922841062,0.1853700466200466
13,perm_rf,soft,0.9039585414585415,0.9576339900109879,0.905573593073593,0.9578563487170505,0.6580577755577756,0.8003714763840888,0.8471466033966033,0.8994844617586875,0.18908882783882777
14,perm_rf,soft,0.904243672993673,0.9578764262502398,0.9080919080919081,0.9594104821252674,0.6730536130536131,0.8193097020362256,0.8483558108558108,0.8998947944953813,0.17530219780219777
15,perm_rf,soft,0.9047057109557111,0.9580926467180838,0.910237678987679,0.960537035184263,0.6753962703962704,0.8198300388838601,0.8475241425241425,0.8984464330624421,0.1721278721278721
16,perm_rf,soft,0.904747335997336,0.9582212352457732,0.9103313353313354,0.960504875577303,0.6759569597069598,0.8201986479221745,0.847581585081585,0.8980378555635173,0.17162462537462533
17,perm_rf,soft,0.9045475357975358,0.9581224386668943,0.9100878288378288,0.9603917555762586,0.6791437728937728,0.8233871938085224,0.8477872127872127,0.8979996143965924,0.16864343989343986
18,perm_rf,soft,0.9044372294372295,0.9580987397342917,0.910221028971029,0.9606058339762136,0.6793989343989345,0.8217972151266982,0.8476506826506826,0.8981739692001306,0.16825174825174818
19,perm_rf,soft,0.9044622044622045,0.9580421035840616,0.9101377788877789,0.9604432707236153,0.6830328005328005,0.8354263259218304,0.8484511322011322,0.8988574938631132,0.16541833166833161
20,perm_rf,soft,0.9047119547119548,0.958053711606409,0.9103729603729604,0.9604235606842376,0.685304279054279,0.8349028230968166,0.8484382284382285,0.8987077518718377,0.16313394938394934
21,perm_rf,soft,0.904251998001998,0.9577575188714049,0.9103146853146854,0.9603555129935,0.685693056943057,0.8355922528395681,0.8479574592074592,0.897356123646583,0.16226440226440222
22,perm_rf,soft,0.9041187978687978,0.9577029592951171,0.910593573093573,0.9606431852779256,0.6837695637695638,0.8377537857372398,0.8488003663003664,0.8981441367698236,0.1650308025308025
23,perm_rf,soft,0.9042728105228105,0.9577013390996282,0.9107330169830171,0.9605998017758132,0.6843589743589744,0.8378651242613531,0.8486630036630037,0.8977079207838449,0.1643040293040293
24,perm_rf,soft,0.9037774725274725,0.9575585773700159,0.9109744422244422,0.9604908021756797,0.6831031468531469,0.8367541266384299,0.8482800532800533,0.8973847448547124,0.16517690642690638
25,perm_rf,soft,0.9040438727938728,0.9575326360494317,0.9106872294372295,0.9608133281553611,0.6835893273393273,0.8377074386860226,0.8483175158175159,0.8973850538613899,0.16472818847818846
26,perm_rf,soft,0.9037795537795539,0.9575711230993448,0.9119359806859806,0.9621731514198423,0.6822394272394273,0.8386927244625172,0.8462042124542125,0.8955549312492369,0.1639647852147852
27,perm_rf,soft,0.9039335664335665,0.9575815231222324,0.9120421245421245,0.9622778866363406,0.6844588744588744,0.8398960948932852,0.8463832001332001,0.895536145547759,0.1619243256743256
28,perm_rf,soft,0.904020979020979,0.957577480170512,0.9120983183483183,0.9622632211902317,0.6836471861471862,0.8394196976433489,0.8463807026307025,0.8955777042221847,0.16273351648351644
29,perm_rf,soft,0.9041500166500166,0.9575930942392605,0.9113782051282051,0.9618811513370079,0.6783154345654346,0.8340399802495208,0.8453504828504829,0.8948570794423691,0.16703504828504825
30,perm_rf,soft,0.9041083916083915,0.9575599787325562,0.9118131868131868,0.9621486457681513,0.6786621711621712,0.8375669665000335,0.8459203296703296,0.8953070427740757,0.1672581585081585
31,perm_rf,soft,0.9039252414252413,0.957621199459049,0.9120254745254744,0.9620972881181423,0.6780215617715618,0.837743385651977,0.8461913086913088,0.8952078755202507,0.16816974691974687
