config,classifier,direction,partition,metric,mean,std,ci_lo,ci_hi
Plus_Log,LogReg,MS,tgt,acc,0.8211351148851149,0.0037259194971892913,0.8146584665334665,0.8267101648351648
Plus_Log,LogReg,MS,tgt,auc,0.8827185773766691,0.0011862972984018492,0.8809178067187557,0.884454294082541
Plus_Poly2,CatBoost,SM,te,acc,0.9050137362637362,0.0027389575375276393,0.8998439060939061,0.9095560689310689
Plus_Poly2,CatBoost,SM,te,auc,0.957901202194409,0.001675885304687076,0.9552995268966797,0.9604958992680647
Plus_Poly2,CatBoost,SM,tgt,acc,0.6586800699300699,0.014179593306973508,0.6425312187812188,0.6885002497502497
Plus_Poly2,CatBoost,SM,tgt,auc,0.8278016840801558,0.01129530641808396,0.8061781598147107,0.842877126245383
Plus_Poly2,CatBoost,MS,te,acc,0.9119255744255744,0.0030574883436075744,0.9071615884115884,0.9171078921078921
Plus_Poly2,CatBoost,MS,te,auc,0.9622528632705956,0.0021784213879591113,0.9583536406151292,0.9659633635595175
Plus_Poly2,CatBoost,MS,tgt,acc,0.8442495004995006,0.0032821609618387928,0.8377403846153846,0.848892982017982
Plus_Poly2,CatBoost,MS,tgt,auc,0.8949844178049723,0.0037954293260644358,0.889612920046986,0.9029949138648564
Plus_Poly2,LogReg,SM,te,acc,0.8983578921078921,0.0026157891466672576,0.893853021978022,0.9034621628371629
Plus_Poly2,LogReg,SM,te,auc,0.9517759276188347,0.0018286011904879707,0.9488245232227812,0.9542451110016358
Plus_Poly2,LogReg,SM,tgt,acc,0.6637724775224775,0.02023506066500167,0.6207992007992008,0.6853165584415585
Plus_Poly2,LogReg,SM,tgt,auc,0.6354984392480647,0.03419444413365264,0.5715312097680043,0.6842161786764683
Plus_Poly2,LogReg,MS,te,acc,0.9036838161838162,0.0027424985990480316,0.8988324175824176,0.9091283716283717
Plus_Poly2,LogReg,MS,te,auc,0.9553520717544194,0.0023270327854707736,0.9516287642801753,0.9592721916569944
Plus_Poly2,LogReg,MS,tgt,acc,0.8318131868131868,0.0037569872699776403,0.8251461038961039,0.8373607642357642
Plus_Poly2,LogReg,MS,tgt,auc,0.8850220500029442,0.0015279778628111281,0.882431331093981,0.8872786216655473
Plus_All,CatBoost,SM,te,acc,0.9050262237762239,0.0022453684978291396,0.9005681818181819,0.9082355144855145
Plus_All,CatBoost,SM,te,auc,0.9579886927508058,0.001683725703104869,0.9551228320256167,0.9603832933425215
Plus_All,CatBoost,SM,tgt,acc,0.6569205794205794,0.013650781294257522,0.6365653096903098,0.6864491758241759
Plus_All,CatBoost,SM,tgt,auc,0.8303576986200613,0.00933069190741108,0.8162564712385517,0.846567484338838
Plus_All,CatBoost,MS,te,acc,0.9122127872127873,0.003385111294891321,0.9069898851148851,0.918746878121878
Plus_All,CatBoost,MS,te,auc,0.9622839760139961,0.002147579084457854,0.9581853695131043,0.965933786805103
Plus_All,CatBoost,MS,tgt,acc,0.8440884115884117,0.0029314283153532997,0.839336913086913,0.848735014985015
Plus_All,CatBoost,MS,tgt,auc,0.8949186133546773,0.003671906340124648,0.8880476374275076,0.9022409799865468
Plus_All,LogReg,SM,te,acc,0.8981580919080919,0.0027146379218705723,0.8930944055944056,0.9031468531468532
Plus_All,LogReg,SM,te,auc,0.9518949753418411,0.001844931828215802,0.9489088848838474,0.9544940792224759
Plus_All,LogReg,SM,tgt,acc,0.6635227272727271,0.018969831361017722,0.6216046453546453,0.6856986763236763
Plus_All,LogReg,SM,tgt,auc,0.6463366980796426,0.031907792223372,0.5769183489462586,0.681087798658634
Plus_All,LogReg,MS,te,acc,0.9046640859140858,0.0023836623264437383,0.9009615384615385,0.9094624125874126
Plus_All,LogReg,MS,te,auc,0.9569928385800015,0.0021447872349362454,0.9537060498193116,0.9609092346838974
Plus_All,LogReg,MS,tgt,acc,0.8226436063936063,0.0035672416284795306,0.8173264235764236,0.8297564935064935
Plus_All,LogReg,MS,tgt,auc,0.8838750924400275,0.0014044492486177315,0.8815265110139611,0.8856344587605203
Ablation_DJ_27,CatBoost,SM,te,acc,0.8750312187812186,0.0037141028411392016,0.8691246253746253,0.8819399350649351
Ablation_DJ_27,CatBoost,SM,te,auc,0.9417080266137459,0.002387023264102664,0.9372697279618484,0.9459764136961938
Ablation_DJ_27,CatBoost,SM,tgt,acc,0.7967732267732268,0.010109506021312352,0.7837556193806194,0.8110939060939061
Ablation_DJ_27,CatBoost,SM,tgt,auc,0.8643414764556125,0.006689798597590432,0.8549909002086824,0.8761649917889304
Ablation_DJ_27,CatBoost,MS,te,acc,0.910583166833167,0.003062684787818071,0.9058441558441559,0.9159247002997003
Ablation_DJ_27,CatBoost,MS,te,auc,0.9601267551130188,0.0021092283484155172,0.9562453436922719,0.9633157115112659
Ablation_DJ_27,CatBoost,MS,tgt,acc,0.8420229770229769,0.0039492340269333855,0.8341764485514486,0.8473713786213786
Ablation_DJ_27,CatBoost,MS,tgt,auc,0.8859551609728934,0.002788951086663814,0.8818245241272215,0.8906512089309292
Ablation_DJ_27,LogReg,SM,te,acc,0.8815184815184816,0.002907091551963732,0.8762643606393606,0.8859734015984017
Ablation_DJ_27,LogReg,SM,te,auc,0.9423342516624235,0.0024353987807009692,0.9380248622506364,0.9454561750063123
Ablation_DJ_27,LogReg,SM,tgt,acc,0.7738598901098902,0.013972631098241456,0.753233016983017,0.7993231768231769
Ablation_DJ_27,LogReg,SM,tgt,auc,0.8109944529122226,0.014507269426723077,0.7882952306185322,0.8359438476733058
Ablation_DJ_27,LogReg,MS,te,acc,0.8961913086913087,0.002798194345902336,0.8914616633366633,0.9013392857142857
Ablation_DJ_27,LogReg,MS,te,auc,0.9429153201942911,0.002642795449626749,0.9384247417791999,0.9477505402314967
Ablation_DJ_27,LogReg,MS,tgt,acc,0.8241620879120879,0.002245991256829808,0.8198208041958042,0.827613011988012
Ablation_DJ_27,LogReg,MS,tgt,auc,0.878486527957557,0.0012714608939592453,0.876367566936061,0.8804556652762823
