delta_mean,delta_std,delta_ci_lo,delta_ci_hi,paired_t,paired_p_twosided,cohens_d_paired,n_seeds,config,classifier,direction,partition,metric
0.00034965034965036,0.001224594144066211,-0.001713911088911163,0.0025536963036963288,1.2768997042215193,0.21702312153382344,0.28552345390886924,20,Plus_All,CatBoost,MS,te,acc
0.0005630826466241357,0.000491799988093411,-0.0002967655471400321,0.0014682635671021652,5.120337963745179,6.080727336409854e-05,1.1449423754707073,20,Plus_All,CatBoost,MS,te,auc
0.0016920579420579452,0.0030253587314012153,-0.0030519480519480393,0.006813811188811176,2.5012283938689057,0.021684182218123214,0.5592916715943491,20,Plus_All,CatBoost,MS,tgt,acc
0.0012746091321266084,0.0020463523794775574,-0.002090281222274307,0.0038660188462885407,2.785554133061632,0.011788623456455486,0.6228688396531303,20,Plus_All,CatBoost,MS,tgt,auc
0.012668581418581426,0.0024565745114203817,0.008132492507492475,0.016299325674325654,23.062853659634982,2.353643481965027e-15,5.157010853807362,20,Plus_All,LogReg,SM,te,acc
0.008168857241659444,0.0010564461812652799,0.006213862155576677,0.010071799454291968,34.58031353564089,1.2744325256059844e-18,7.732393174894913,20,Plus_All,LogReg,SM,te,auc
-0.08837537462537462,0.023374758987722663,-0.13484328171828172,-0.05802072927072928,-16.908268042732928,6.580580310733472e-13,-3.780803672533814,20,Plus_All,LogReg,SM,tgt,acc
-0.11196132432752062,0.03421556599225207,-0.1885997701411975,-0.07925212599588224,-14.633873489272583,8.493967531656544e-12,-3.272233589614553,20,Plus_All,LogReg,SM,tgt,auc
0.008541458541458546,0.0015870237563047843,0.005659965034965087,0.011494755244755244,24.069308162302697,1.0724912680383185e-15,5.382060922229937,20,Plus_All,LogReg,MS,te,acc
0.01404222962352335,0.001432780848476118,0.01195781148172519,0.017016960000539007,43.82998282990082,1.48827683586727e-20,9.800682106030685,20,Plus_All,LogReg,MS,te,auc
-0.0023601398601398537,0.004386367224729981,-0.008693181818181878,0.0062918331668331915,-2.4062888004113385,0.026456578476217733,-0.5380625331216178,20,Plus_All,LogReg,MS,tgt,acc
0.004683769277675398,0.001067776335641567,0.003015840178802187,0.0065260803756682795,19.616891939292707,4.525333799539446e-14,4.386470388352617,20,Plus_All,LogReg,MS,tgt,auc
-0.029657842157842146,0.003153788228144155,-0.036385489510489484,-0.025908466533466536,-42.05542435543827,3.238957640820157e-20,-9.403878768136023,20,Ablation_DJ_27,CatBoost,SM,te,acc
-0.016328214742300656,0.0011059042636436518,-0.018121973867790596,-0.014498811316056664,-66.02922027753964,6.500350155004285e-24,-14.764582504188615,20,Ablation_DJ_27,CatBoost,SM,te,auc
0.12705169830169827,0.015017120108876654,0.10110701798201806,0.14958978521478525,37.83631375385511,2.3601235512410114e-19,8.460456957163027,20,Ablation_DJ_27,CatBoost,SM,tgt,acc
0.02863317476729068,0.0067524828825678476,0.018812027227268373,0.040104965401731134,18.96360977280874,8.359623402196445e-14,4.240392055077969,20,Ablation_DJ_27,CatBoost,SM,tgt,auc
-0.001279970029970029,0.0016401631417961766,-0.004127122877122863,0.0010052447552447216,-3.4900186734364516,0.0024502142187386635,-0.7803918996547546,20,Ablation_DJ_27,CatBoost,MS,te,acc
-0.0015941382543530058,0.0004932088970116199,-0.0025655117235411223,-0.0008393470290948313,-14.45473317235066,1.0538161486779342e-11,-3.2321765969997256,20,Ablation_DJ_27,CatBoost,MS,te,auc
-0.00037337662337662004,0.0024255430008645537,-0.0049918831168831255,0.004061563436563401,-0.6884194679557293,0.4995086852913424,-0.15393527273832489,20,Ablation_DJ_27,CatBoost,MS,tgt,acc
-0.007688843249657434,0.0026897675954844383,-0.01291600981436144,-0.0036020576576269716,-12.783837684294742,8.834516839330185e-11,-2.858553007540654,20,Ablation_DJ_27,CatBoost,MS,tgt,auc
-0.003971028971028962,0.0020076728464087433,-0.007352022977022932,-0.0013736263736263687,-8.845555425750897,3.652823001279621e-08,-1.9779263230721096,20,Ablation_DJ_27,LogReg,SM,te,acc
-0.0013918664377580603,0.0006135751891815772,-0.0022998355291062008,-0.00034514842051068257,-10.14482992566529,4.172763425301469e-09,-2.2684529333961727,20,Ablation_DJ_27,LogReg,SM,te,auc
0.021961788211788215,0.008810774469836108,0.008138736263736308,0.037373876123876194,11.147272357755737,8.903477079038503e-10,2.492605875564618,20,Ablation_DJ_27,LogReg,SM,tgt,acc
0.05269643050505938,0.007769628507388976,0.03758466399359889,0.0659145003660176,30.33164344185734,1.474560150704154e-17,6.7823616605278705,20,Ablation_DJ_27,LogReg,SM,tgt,auc
6.8681318681324e-05,0.0007508647197661291,-0.0008803696303695874,0.0016951798201797813,0.40906462459336435,0.6870665307154418,0.0914696307781195,20,Ablation_DJ_27,LogReg,MS,te,acc
-3.528876218685251e-05,0.00011756642501636437,-0.00022513700086120858,0.0001544300479739857,-1.3423572432459854,0.1953006369701921,-0.30016020459872433,20,Ablation_DJ_27,LogReg,MS,te,auc
-0.0008416583416583356,0.001558639138472795,-0.003971653346653353,0.0017345154845154719,-2.4149339245026678,0.02598441855556022,-0.5399956416358309,20,Ablation_DJ_27,LogReg,MS,tgt,acc
-0.0007047952047951944,0.00018476637495254175,-0.0010340453128290794,-0.0004180797349503081,-17.059056211312654,5.614560733469382e-13,-3.814520932048512,20,Ablation_DJ_27,LogReg,MS,tgt,auc
