seed,verdict,reason,seconds
851,accept,ok,39
858,accept,ok,38
860,accept,ok,33
864,accept,ok,37
867,accept,ok,36
866,accept,ok,38
868,accept,ok,39
873,accept,ok,30
870,accept,ok,38
869,accept,ok,44
871,accept,ok,34
874,accept,ok,33
876,accept,ok,35
880,accept,ok,35
921,reject,Attacker_not_available
Terminated,6
877,accept,ok,36
923,reject,Attacker_not_available
Terminated,7
890,accept,ok,30
888,accept,ok,37
891,accept,ok,32
932,reject,Assert_connectivity_failed,2
905,accept,ok,27
894,accept,ok,33
898,accept,ok,34
911,accept,ok,35
895,accept,ok,36
893,accept,ok,45
904,accept,ok,41
916,accept,ok,33
913,accept,ok,38
925,accept,ok,30
924,accept,ok,32
912,accept,ok,45
926,accept,ok,32
919,accept,ok,39
918,accept,ok,41
927,accept,ok,34
955,reject,Attacker_not_available
Terminated,7
929,accept,ok,34
933,accept,ok,33
928,accept,ok,37
957,reject,Attacker_not_available
Terminated,8
937,accept,ok,32
935,accept,ok,36
970,reject,Attacker_not_available
Terminated,6
931,accept,ok,40
981,reject,Assert_connectivity_failed,4
940,accept,ok,30
941,accept,ok,30
934,accept,ok,40
986,reject,Assert_connectivity_failed,3
936,accept,ok,41
990,reject,Assert_connectivity_failed,3
939,accept,ok,37
998,reject,Assert_connectivity_failed,4
947,accept,ok,34
952,accept,ok,29
942,accept,ok,37
948,accept,ok,34
950,accept,ok,34
963,accept,ok,32
964,accept,ok,33
967,accept,ok,31
973,accept,ok,28
968,accept,ok,34
983,accept,ok,30
1019,reject,Attacker_not_available
Terminated,6
971,accept,ok,36
984,accept,ok,33
997,accept,ok,31
978,accept,ok,40
982,accept,ok,37
999,accept,ok,29
995,accept,ok,33
988,accept,ok,37
985,accept,ok,37
962,accept,ok,50
1035,reject,Attacker_not_available
Terminated,6
1044,reject,Assert_connectivity_failed,3
1033,reject,Attacker_not_available
Terminated,7
1005,accept,ok,32
1010,accept,ok,33
1054,reject,Assert_connectivity_failed,3
1001,accept,ok,37
1008,accept,ok,34
1011,accept,ok,32
1006,accept,ok,36
1012,accept,ok,31
1013,accept,ok,35
1015,accept,ok,36
1020,accept,ok,36
1026,accept,ok,36
1038,accept,ok,29
1072,reject,Attacker_not_available
Terminated,7
1024,accept,ok,39
1039,accept,ok,32
1040,accept,ok,33
1075,reject,Attacker_not_available
Terminated,6
1036,accept,ok,35
1048,accept,ok,33
1029,accept,ok,40
1051,accept,ok,34
1028,accept,ok,45
1055,accept,ok,31
1050,accept,ok,36
1066,accept,ok,31
1057,accept,ok,34
1062,accept,ok,35
1052,accept,ok,39
1098,reject,Attacker_not_available
Terminated,7
1067,accept,ok,37
1068,accept,ok,34
1063,accept,ok,42
1069,accept,ok,34
1108,reject,Attacker_not_available
Terminated,7
1073,accept,ok,36
1076,accept,ok,34
1081,accept,ok,32
1083,accept,ok,30
1082,accept,ok,32
1088,accept,ok,31
1090,accept,ok,31
1078,accept,ok,38
1097,accept,ok,29
1089,accept,ok,36
1100,accept,ok,31
1093,accept,ok,33
1106,accept,ok,27
1091,accept,ok,40
1103,accept,ok,32
1105,accept,ok,32
1137,reject,Attacker_not_available
Terminated,6
1102,accept,ok,35
1101,accept,ok,36
1147,reject,Attacker_not_available
Terminated,7
1109,accept,ok,34
1111,accept,ok,32
1112,accept,ok,31
1107,accept,ok,42
1152,reject,Attacker_not_available
Terminated,6
1154,reject,Attacker_not_available
Terminated,7
1119,accept,ok,30
1159,reject,Attacker_not_available
Terminated,8
1115,accept,ok,33
1113,accept,ok,34
1132,accept,ok,30
1133,accept,ok,30
1163,reject,Assert_connectivity_failed,5
1117,accept,ok,35
1126,accept,ok,35
1134,accept,ok,32
1114,accept,ok,40
1118,accept,ok,38
1139,accept,ok,29
1144,accept,ok,31
1138,accept,ok,35
1191,reject,Attacker_not_available
Terminated,7
1146,accept,ok,32
1141,accept,ok,33
1140,accept,ok,36
1197,reject,Attacker_not_available
Terminated,6
1157,accept,ok,32
1149,accept,ok,44
1162,accept,ok,32
1176,accept,ok,27
1168,accept,ok,30
1160,accept,ok,37
1179,accept,ok,31
1174,accept,ok,33
1171,accept,ok,35
1188,accept,ok,31
1185,accept,ok,33
1183,accept,ok,37
1187,accept,ok,34
1184,accept,ok,37
1173,accept,ok,43
1242,reject,Assert_connectivity_failed,4
1239,reject,Attacker_not_available
Terminated,6
1203,accept,ok,28
1192,accept,ok,37
1200,accept,ok,32
1204,accept,ok,30
1199,accept,ok,35
1201,accept,ok,36
1198,accept,ok,42
1205,accept,ok,33
1212,accept,ok,30
1269,reject,Assert_connectivity_failed,4
1215,accept,ok,34
1222,accept,ok,34
1232,accept,ok,31
1230,accept,ok,35
1237,accept,ok,36
1244,accept,ok,32
1227,accept,ok,45
1280,reject,Attacker_not_available
Terminated,7
1233,accept,ok,41
1245,accept,ok,35
1240,accept,ok,37
1251,accept,ok,31
1248,accept,ok,33
1249,accept,ok,33
1250,accept,ok,33
1284,reject,Assert_connectivity_failed,3
1260,accept,ok,33
1253,accept,ok,35
1285,reject,Attacker_not_available
Terminated,7
1291,reject,Attacker_not_available
Terminated,7
1261,accept,ok,33
1292,reject,Attacker_not_available
Terminated,6
1246,accept,ok,39
1264,accept,ok,35
1271,accept,ok,29
1273,accept,ok,29
1267,accept,ok,37
1319,reject,Attacker_not_available
Terminated,7
1274,accept,ok,36
1277,accept,ok,35
1282,accept,ok,32
1276,accept,ok,42
1283,accept,ok,33
1296,accept,ok,29
1294,accept,ok,34
1295,accept,ok,33
1298,accept,ok,33
1302,accept,ok,33
1330,reject,Attacker_not_available
Terminated,7
1308,accept,ok,32
1304,accept,ok,35
