k,features,s2m,m2s,cross_mean,in_static,in_mobile,coverage,has_dead,degenerate,is_selected
2,AverageAdvertisedLinksPerTCMessage;AvgFlowThroughput,0.7969750000000001,0.764475,0.7807250000000001,0.7784583333333334,0.82075,exhaustive,False,False,False
2,AverageAdvertisedLinksPerTCMessage;AvgTxBytesPerFlow,0.7969750000000001,0.764475,0.7807250000000001,0.7784583333333334,0.82075,exhaustive,False,False,False
2,AverageAdvertisedLinksPerTCMessage;AvgTxPacketSize,0.818775,0.7781333333333333,0.7984541666666667,0.7817083333333334,0.827375,exhaustive,False,False,False
2,AverageAdvertisedLinksPerTCMessage;AvgTxPacketsPerFlow,0.7833916666666667,0.735075,0.7592333333333334,0.7714583333333334,0.8144583333333334,exhaustive,False,False,False
2,AverageAdvertisedLinksPerTCMessage;DataPacketRate,0.785425,0.7551166666666665,0.7702708333333332,0.7602083333333334,0.8068749999999999,exhaustive,False,False,False
2,AverageAdvertisedLinksPerTCMessage;FlowDurationStd,0.7750916666666666,0.7422416666666667,0.7586666666666666,0.7646666666666667,0.8074166666666667,exhaustive,False,False,False
2,AverageAdvertisedLinksPerTCMessage;FlowThroughputStd,0.7780583333333334,0.7633583333333332,0.7707083333333333,0.7735416666666667,0.8100833333333334,exhaustive,False,False,False
2,AverageAdvertisedLinksPerTCMessage;HnaMessageRate,0.7902416666666667,0.7496916666666666,0.7699666666666667,0.7614166666666667,0.8085,exhaustive,True,False,False
2,AverageAdvertisedLinksPerTCMessage;MidMessageRate,0.7902416666666667,0.7496916666666666,0.7699666666666667,0.7614166666666667,0.8085,exhaustive,True,False,False
2,AverageAdvertisedLinksPerTCMessage;NormalizedRoutingLoad,0.7583916666666667,0.7509416666666667,0.7546666666666667,0.7620833333333333,0.80475,exhaustive,False,False,False
2,AverageAdvertisedLinksPerTCMessage;RoutingOverheadBytesRatio,0.7751083333333333,0.7508083333333334,0.7629583333333334,0.7649583333333334,0.8052916666666666,exhaustive,False,False,False
2,AverageAdvertisedLinksPerTCMessage;Throughput,0.7928000000000001,0.7579333333333333,0.7753666666666668,0.7657083333333333,0.8091666666666666,exhaustive,False,False,False
2,AverageHopCount;AvgFlowDuration,0.5128666666666667,0.5364666666666666,0.5246666666666666,0.5456249999999999,0.5405833333333333,exhaustive,False,False,False
2,AverageHopCount;AvgFlowThroughput,0.7295666666666666,0.6820916666666667,0.7058291666666666,0.6827916666666667,0.7316250000000001,exhaustive,False,False,False
2,AverageHopCount;AvgTxBytesPerFlow,0.7295666666666666,0.6820916666666667,0.7058291666666666,0.6827916666666667,0.7316250000000001,exhaustive,False,False,False
2,AverageHopCount;AvgTxPacketSize,0.7765333333333334,0.7245750000000001,0.7505541666666667,0.737625,0.7922916666666667,exhaustive,False,False,False
2,AverageHopCount;AvgTxPacketsPerFlow,0.5951166666666666,0.5758833333333334,0.5855,0.5874583333333333,0.6180833333333333,exhaustive,False,False,False
2,AverageHopCount;DataPacketRate,0.569025,0.5596833333333334,0.5643541666666667,0.5699166666666666,0.581625,exhaustive,False,False,False
2,AverageHopCount;FlowDurationStd,0.5190333333333333,0.5413666666666667,0.5302,0.5466666666666667,0.538625,exhaustive,False,False,False
2,AverageHopCount;FlowThroughputStd,0.62525,0.6500166666666667,0.6376333333333333,0.6632916666666667,0.6318333333333334,exhaustive,False,False,False
2,AverageHopCount;NormalizedRoutingLoad,0.5307,0.5467833333333333,0.5387416666666667,0.5593750000000001,0.5439583333333333,exhaustive,False,False,False
2,AverageHopCount;Throughput,0.6537916666666667,0.6266833333333334,0.6402375,0.6388333333333334,0.6799166666666666,exhaustive,False,False,False
2,AverageMprCount;AverageHopCount,0.7127249999999999,0.8158916666666666,0.7643083333333333,0.8557083333333333,0.8657083333333332,exhaustive,False,False,False
2,AverageMprCount;AvgFlowDuration,0.6748500000000001,0.8136833333333334,0.7442666666666667,0.859125,0.8662083333333334,exhaustive,False,False,False
2,AverageMprCount;AvgFlowThroughput,0.732025,0.8111083333333333,0.7715666666666667,0.8567083333333333,0.8745833333333334,exhaustive,False,False,False
2,AverageMprCount;AvgTxBytesPerFlow,0.732025,0.8111083333333333,0.7715666666666667,0.8567083333333333,0.8745833333333334,exhaustive,False,False,False
2,AverageMprCount;AvgTxPacketSize,0.7520000000000001,0.81045,0.7812250000000001,0.8572083333333333,0.8939583333333333,exhaustive,False,False,False
